,id,x,y,z,log(1+delta),delta,sigma,weights
0,0,623.484,1142.1504,1525.2768,0.2943866349562028,0.969639,5.622977,2.7196092389460132e-05
1,1,524.0880000000001,1203.5952,1138.536,0.2828784906860711,0.918132,5.405551,0.00019589551561003716
2,2,54.216,1709.6112,571.0752,0.2676029916421573,0.8518379999999999,5.116943,0.0004290213100455274
3,3,153.612,1762.02,531.3168,0.2670005591745869,0.8492709999999999,5.105561,0.0009533680864773427
4,4,39.7584,1686.1176,1850.5728,0.26614793518090873,0.8456440000000001,5.089451,0.00044443099971550764
5,5,847.5768,1443.9528,1062.6336,0.2653198037991135,0.8421280000000001,5.073807,0.0008283023186896101
6,6,1198.1736,135.54,1375.2792,0.2651224303872863,0.841291,5.070077,0.0006662671823898835
7,7,1012.0319999999999,1514.4336,1454.796,0.2646879873184273,0.83945,5.061867,0.0011778329390923251
8,8,590.9544,359.6328,1610.2152,0.2645559872579365,0.8388909999999999,5.059377,0.0002647170902879647
9,9,746.3736,820.4688,945.1656,0.2631039390674319,0.8327530000000001,5.031942,0.0010290066472744923
10,10,1181.9088,1171.0656,974.0808,0.2625614292283737,0.830465,5.021692,0.00038696263923429904
11,11,37.9512,670.4712,46.9872,0.2622965673218253,0.829349,5.0166879999999985,0.0007194064516975975
12,12,1989.7272,368.6688,2076.4728,0.2619386522874334,0.827842,5.0099269999999985,0.0006684901315536645
13,13,1659.0096,1306.6056,760.8312,0.261062690249576,0.824159,4.993377,0.0004880847043391634
14,14,57.8304,883.7208,2098.1592,0.2604112931970746,0.821425,4.981068,0.0011898362696742388
15,15,609.0264,2018.6424,115.6608,0.26018495784493045,0.820476,4.976793,0.0007572179757263934
16,16,122.8896,1124.0784,1304.7984,0.20850477600193545,0.616236,4.0003769999999985,0.003738301968036731
17,17,1395.1584,415.656,1575.8784,0.2084445813856176,0.616012,3.999244,0.00467822533607092
18,18,128.3112,216.864,258.4296,0.15556223686160514,0.430745,3.000115,0.009358815353514668
19,19,1400.58,1686.1176,806.0112,0.15554523804842996,0.430689,2.999795,0.01232415107259012
20,20,699.3864,1760.2128,1725.876,0.10261033773387164,0.266515,1.999677,0.029310682022299746
21,21,1951.776,2022.2568,1709.6112,0.10262953999624287,0.266571,2.000039,0.027954022164348308
22,22,755.4096,1122.2712,867.456,0.049727631814127884,0.121315,1.00054,0.05787617545898606
23,23,516.8592,325.296,603.6048,0.0496625591635356,0.121147,0.999315,0.06200930875381517
24,24,937.9368,1382.5079999999998,1077.0912,-0.0032117283333264967,-0.007368,0.000338,0.0745023102148543
25,25,1675.2744,1492.7472,1335.5208,-0.003236230038934181,-0.007423999999999998,-0.000123,0.0803765546357664
26,26,1270.4616,518.6664,862.0344,-0.05611341109777336,-0.121207,-0.999154,0.06352834090394659
27,27,242.1648,1881.2952,1624.6728,-0.05616876438554776,-0.121319,-1.000196,0.05823082067405286
28,28,1454.796,1720.4544,1608.408,-0.10904496534653244,-0.222044,-1.999209,0.034466665124204814
29,29,430.1136,296.3808,359.6328,-0.1091074939261149,-0.222156,-2.000386,0.024215907895723563
30,30,1733.1048,1096.9704,1060.8264,-0.16205884077144933,-0.311441,-3.000821,0.012086791661975186
31,31,1821.6576,946.9728,1431.3024,-0.16198820481074502,-0.311329,-2.999492,0.013126892770206646
32,32,1913.8248,1033.7184,45.18,-0.02966102855939622,-0.06601699999999999,-0.499382,0.06428046206205107
33,33,2009.6064,2024.0639999999999,1693.3464,-0.02973915421662096,-0.06618500000000001,-0.500853,0.06627682434185916
34,34,339.7536,934.3224,1646.3592,-0.0032607331269390513,-0.00748,-0.000584,0.07600085840337129
35,35,1693.3464,914.4432,1977.0768,-0.003236230038934181,-0.007423999999999998,-0.000123,0.0764864382601356
36,36,778.9032,899.9856,1866.8376,0.0232837441757269,0.055076,0.5009279999999999,0.07040754563540093
37,37,1790.9352,1239.7392,1765.6344,0.023214997546126024,0.054909000000000006,0.499626,0.06245118548127438
38,38,2078.28,77.7096,140.9616,-0.28294560030948457,-0.47874,-5.284778,0.0027211315552843084
39,39,818.6616,110.2392,1628.2872,-0.24704394179701325,-0.433818,-4.606477,0.003365551896033763
